               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.015416,           0.0045271,          0.00055498,             0.97571,             0.98546,             0.99164,             0.75508,            0.015793,           0.0045182,            0.001368,             0.00406,             0.00406,             0.00406
                  32,            0.015739,           0.0050694,          0.00082225,              0.9728,             0.98152,             0.98977,              0.8154,             0.01441,           0.0043228,           0.0013941,            0.003862,            0.003862,            0.003862
                  33,            0.013558,           0.0043138,          0.00066851,             0.98389,              0.9764,             0.98757,             0.85961,             0.01284,           0.0042565,           0.0011023,            0.003664,            0.003664,            0.003664
                  34,            0.013043,           0.0041281,           0.0005208,             0.97399,             0.97845,             0.99055,             0.86682,            0.011771,           0.0043077,           0.0011066,            0.003466,            0.003466,            0.003466
                  35,            0.013379,           0.0041616,          0.00051544,             0.96744,              0.9836,             0.98743,             0.81578,             0.01379,           0.0043557,           0.0011678,            0.003268,            0.003268,            0.003268
                  36,            0.013133,           0.0041401,          0.00057478,             0.97952,             0.98172,             0.99125,             0.86046,            0.012658,           0.0042809,           0.0011047,             0.00307,             0.00307,             0.00307
                  37,            0.012562,            0.003951,          0.00045884,             0.98498,             0.98437,             0.99113,             0.84018,            0.012089,            0.004226,           0.0011258,            0.002872,            0.002872,            0.002872
                  38,             0.01185,           0.0040543,          0.00048806,             0.98253,              0.9846,             0.99162,             0.87269,            0.011367,           0.0039518,            0.001128,            0.002674,            0.002674,            0.002674
                  39,            0.011245,           0.0037132,          0.00040452,             0.98272,             0.98358,              0.9919,             0.84821,            0.011098,           0.0039117,           0.0010548,            0.002476,            0.002476,            0.002476
                  40,            0.010723,           0.0037248,          0.00067249,             0.97928,             0.98867,             0.99217,             0.88679,            0.010506,           0.0038044,           0.0009764,            0.002278,            0.002278,            0.002278
                  41,             0.01077,           0.0036229,          0.00038162,             0.98462,             0.98512,             0.99265,             0.88982,            0.010783,           0.0039759,           0.0010083,             0.00208,             0.00208,             0.00208
                  42,            0.010158,           0.0035404,          0.00032491,             0.98476,             0.98409,             0.99255,             0.89982,            0.010127,           0.0038526,          0.00094684,            0.001882,            0.001882,            0.001882
                  43,            0.009874,           0.0035766,          0.00029281,             0.98566,             0.98275,             0.99217,             0.90929,           0.0095947,           0.0037223,          0.00095863,            0.001684,            0.001684,            0.001684
                  44,           0.0092275,           0.0035203,          0.00028017,             0.98598,             0.98101,             0.99245,             0.90993,           0.0098863,           0.0037121,          0.00093792,            0.001486,            0.001486,            0.001486
                  45,           0.0090529,           0.0033551,          0.00044864,             0.98618,             0.98537,             0.99173,             0.91209,           0.0095201,           0.0036709,          0.00090481,            0.001288,            0.001288,            0.001288
                  46,           0.0084517,           0.0032499,          0.00023062,             0.98516,             0.98512,              0.9924,             0.91447,           0.0092579,           0.0035817,          0.00084403,             0.00109,             0.00109,             0.00109
                  47,           0.0082701,           0.0032443,          0.00020491,             0.98328,              0.9846,             0.99259,             0.91192,            0.009032,            0.003559,          0.00087381,            0.000892,            0.000892,            0.000892
                  48,           0.0080075,           0.0031173,          0.00024378,             0.98593,             0.98501,              0.9926,             0.91447,           0.0088013,           0.0035258,          0.00083709,            0.000694,            0.000694,            0.000694
                  49,           0.0082479,           0.0031155,          0.00020759,             0.98652,              0.9805,             0.99276,             0.90814,           0.0088439,             0.00355,          0.00083435,            0.000496,            0.000496,            0.000496
